event_name;event_type;event_format;start_date;end_date;registrations_count;participants_count;teams_count;submitted_projects_count;finished_participants_count
ХАКАТОН 2024. Полигон Эмоционального Угарания;Хакатон;Офлайн;2024-08-05;2024-08-16;117;112;112;80;80
Курс по поиску аномалий во временных рядах;Курс;Онлайн;2022-06-08;2022-09-01;477;240;240;240;240
IT Show Code Battle;IT-соревнование;Онлайн;2023-02-28;2024-03-02;371;180;180;180;180
Cosmic Code 2023;IT-соревнование;Онлайн;2023-04-11;2023-05-14;373;207;207;207;207
Russian art: ML Challenge 2024;IT-соревнование;Онлайн;2023-12-25;2024-01-31;185;131;115;113;129
Neo Hack 2024;Хакатон;Онлайн;2024-07-18;2024-08-11;115;33;14;14;33
Проектный интенсив;Курс;Онлайн;2024-08-14;2024-08-29;324;94;94;94;94
Онлайн-хакатон код согласия;Хакатон;Онлайн;2024-08-27;2024-10-06;517;96;76;57;77
Кокос Hackathon 2024;Хакатон;Онлайн;2024-09-02;2024-10-18;775;215;163;120;172
ТурбоХакатон;Хакатон;Гибрид;2024-09-04;2024-12-04;689;327;277;231;281
ТерраЛинк Code Fest;Хакатон;Онлайн;2024-11-11;2024-12-21;141;54;45;22;31
Совкомбанк: SecureHack;Хакактон;Онлайн;2024-11-05;2024-12-16;400;138;138;54;54
Kryptonite ML Challenge;IT-соревнование;Онлайн;2025-02-01;2025-03-17;500;255;200;147;202
Siam ML Hack;Хакатон;Онлайн;2025-01-22;2025-03-20;858;475;264;150;371
Neo Hack 2025;Хакатон;Онлайн;2025-01-13;2025-01-27;124;120;20;20;120
IT_One Cup. ML Challenge;IT-соревнование;Гибрид;2025-02-26;2025-04-29;1226;372;311;218;279
Игры коммерсантов 2025;IT-соревнование;Гибрид;2025-07-15;2025-11-29;600;251;251;160;160
Лидеры цифровой трансформации 2026;Хакатон;Гибрид;2025-06-01;2025-11-15;10231;4236;1436;671;1943
